round,loss,recon_loss,kl_loss,num_available
1,233.1230246826172,227.6288673828125,5.494156820678711,18
10,149.6513537841797,134.4555126953125,15.195841094970703,16
20,130.67721176757811,110.4018648071289,20.275347357177733,15
30,122.5164791381836,100.25074313964843,22.265736141967775,18
40,118.06363225097657,95.16639501953125,22.897237182617186,17
50,115.38724698486328,91.56240711669922,23.824840505981445,6
60,114.23053728027344,90.08973041992188,24.140806817626952,4
70,113.44368920898438,89.24083054199218,24.202858575439453,3
80,112.26034245605469,87.79375949707031,24.466583157348634,4
90,110.67877274169922,86.08582578125,24.5929475982666,8
100,109.94616578369141,84.98248620605469,24.96367977294922,6
